Name,Country,Latitude,Longitude,Elevation,Type,Status,marker-symbol
Abu,Japan,34.5,131.6,571,Shield volcano,Holocene,vol-red
Acamarachi,Chile,-23.3,-67.62,6046,Stratovolcano,Holocene,vol-red
Acatenango,Guatemala,14.501,-90.876,3976,Stratovolcano,Historical,vol-red
Acigol-Nevsehir,Turkey,38.57,34.52,1689,Maar,Holocene,vol-red
Adams,United States,46.206,-121.49,3742,Stratovolcano,Tephrochronology,vol-red
Adatara,Japan,37.62,140.28,1718,Stratovolcano,Historical,vol-red
Adwa,Ethiopia,10.07,40.84,1733,Stratovolcano,Holocene,vol-red
Afdera,Ethiopia,13.08,40.85,1295,Stratovolcano,Holocene,vol-red
Agmagan-Karadag,Armenia,40.275,44.75,3560,Volcanic field,Holocene,vol-red
Agrigan,United States,18.77,145.67,965,Stratovolcano,Historical,vol-red
Agua,Guatemala,14.465,-90.743,3760,Stratovolcano,Holocene,vol-red
Agua de Pau,Portugal,37.77,-25.47,947,Stratovolcano,Historical,vol-red
Aguilera,Chile,-50.17,-73.83,0,Stratovolcano,Radiocarbon,vol-red
Agung,Indonesia,-8.342,115.508,3142,Stratovolcano,Historical,vol-red
Ahyi,United States,20.42,145.03,-137,Submarine volcano,Uncertain,vol-red
Akademia Nauk,Russia,53.98,159.45,1180,Stratovolcano,Historical,vol-red
Akademia Nauk,Russia,53.983,159.45,1180,Stratovolcanoes,Historical,vol-red
Akagi,Japan,36.53,139.18,1828,Stratovolcano,Historical,vol-red
Akan,Japan,43.38,144.02,1499,Caldera,Historical,vol-red
Akhtang,Russia,55.43,158.65,1956,Shield volcano,Holocene,vol-red
Akita-Komaga-take,Japan,39.75,140.8,1637,Stratovolcano,Historical,vol-red
Akita-Yake-yama,Japan,39.97,140.77,1366,Complex volcano,Historical,vol-red
Akuseki-jima,Japan,29.45,129.6,586,Stratovolcano,Holocene,vol-red
Akuseki-jima,Japan,29.461,129.597,584,Stratovolcanoes,Holocene?,vol-red
Akutan,United States,54.13,-165.97,1303,Stratovolcano,Historical,vol-red
Alaid,Russia,50.858,155.55,2339,Stratovolcano,Historical,vol-red
Alamagan,United States,17.6,145.83,744,Stratovolcano,Radiocarbon,vol-red
Alayta,Ethiopia,12.88,40.57,1501,Shield volcano,Historical,vol-red
"Albano, Monte",Italy,41.73,12.7,949,Caldera,Holocene,vol-red
"Alcedo, Volcan",Ecuador,-0.43,-91.12,1130,Shield volcano,Historical,vol-red
Ale Bagu,Ethiopia,13.52,40.63,1031,Stratovolcano,Holocene,vol-red
Alid,Eritrea,14.88,39.92,904,Stratovolcano,Holocene,vol-red
Alligator Lake,Canada,60.42,-135.42,2217,Volcanic field,Holocene,vol-red
Almolonga,Guatemala,14.82,-91.48,3197,Stratovolcano,Historical,vol-red
Alney-Chashakondzha,Russia,56.7,159.65,2598,Stratovolcano,Holocene,vol-red
